DATE;WAARDE
6-9-2014;0
7-9-2014;0
8-9-2014;0
9-9-2014;0
10-9-2014;0
11-9-2014;0
12-9-2014;0
13-9-2014;0
14-9-2014;0
15-9-2014;0
16-9-2014;0
17-9-2014;0
18-9-2014;0
19-9-2014;0.2
20-9-2014;0.1
21-9-2014;9.4
22-9-2014;0.3
23-9-2014;0
24-9-2014;0
25-9-2014;5.3
26-9-2014;0
27-9-2014;2.1
28-9-2014;0
29-9-2014;0
30-9-2014;2.3
1-10-2014;0
2-10-2014;0
3-10-2014;0
4-10-2014;0
5-10-2014;14.4
6-10-2014;0.2
7-10-2014;3.1
8-10-2014;5.8
9-10-2014;3.6
10-10-2014;0
11-10-2014;0.4
12-10-2014;5.8
13-10-2014;3.4
14-10-2014;0
15-10-2014;1.6
16-10-2014;7.1
17-10-2014;0.3
18-10-2014;0
19-10-2014;0
20-10-2014;0
21-10-2014;0.6
22-10-2014;16.3
23-10-2014;4.2
24-10-2014;0.7
25-10-2014;11.4
26-10-2014;0.3
27-10-2014;0
28-10-2014;0
29-10-2014;0
30-10-2014;1.7
31-10-2014;0
1-11-2014;0
2-11-2014;0
3-11-2014;11.3
4-11-2014;8.2
5-11-2014;0
6-11-2014;0.2
7-11-2014;0
8-11-2014;4.6
9-11-2014;0
10-11-2014;0
11-11-2014;0
12-11-2014;0
13-11-2014;0
14-11-2014;0
15-11-2014;27.1
16-11-2014;4.1
17-11-2014;5.6
18-11-2014;0.3
19-11-2014;0
20-11-2014;0
21-11-2014;0
22-11-2014;0
23-11-2014;0.3
24-11-2014;2.7
25-11-2014;0
26-11-2014;0
27-11-2014;1.4
28-11-2014;0.6
29-11-2014;0
30-11-2014;0
1-12-2014;0.7
2-12-2014;0
3-12-2014;0
4-12-2014;0
5-12-2014;0
6-12-2014;3.7
7-12-2014;0.2
8-12-2014;2.5
9-12-2014;17.9
10-12-2014;2.7
11-12-2014;0.3
12-12-2014;6.2
13-12-2014;11.3
14-12-2014;1.2
15-12-2014;2.6
16-12-2014;2.4
17-12-2014;4.1
18-12-2014;1.9
19-12-2014;5.6
20-12-2014;4.3
21-12-2014;0
22-12-2014;0
23-12-2014;0.2
24-12-2014;1.7
25-12-2014;3.8
26-12-2014;3.3
27-12-2014;24.3
28-12-2014;14.1
29-12-2014;6.4
30-12-2014;0.3
31-12-2014;0
1-1-2015;0
2-1-2015;1.8
3-1-2015;1.1
4-1-2015;5.4
5-1-2015;0
6-1-2015;0
7-1-2015;0.8
8-1-2015;2.9
9-1-2015;18.4
10-1-2015;4.5
11-1-2015;1.7
12-1-2015;0.5
13-1-2015;7.2
14-1-2015;11.4
15-1-2015;1.3
16-1-2015;6.4
17-1-2015;4.6
