Volkerak_spuisluizen_gat2_gat3
* Q in miljoen m3 per dag
* period 2010 t/m 2018
*DATUM WAARDE
20120811 1.9532
20120812 1.9399
20120813 0.1192
20120814 0.0306
20120815 1.8636
20120816 0.1068
20120817 0.1537
20120818 0.0397
20120819 0.0904
20120820 0.2322
20120821 1.5623
20120822 1.6146
20120823 0.2402
20120824 3.0186
20120825 1.5097
20120826 0.7674
20120827 1.2449
20120828 1.9069
20120829 1.4879
20120830 1.5761
20120831 0.5808
20120901 1.2268
20120902 1.5353
20120903 1.4425
20120904 1.6345
20120905 1.136
20120906 1.6048
20120907 1.6282
20120908 1.6235
20120909 1.7152
20120910 1.586
20120911 1.6826
20120912 0.7025
20120913 0.2807
20120914 2.2698
20120915 2.3492
20120916 2.1515
20120917 0.591
20120918 0.2375
20120919 0.1621
20120920 0.0335
20120921 0.0386
20120922 1.43
20120923 1.7529
20120924 0.1028
20120925 0.1294
20120926 0.0514
20120927 0.1237
20120928 0.1127
20120929 0.1742
20120930 0.1022
20121001 0.162
20121002 0.2101
20121003 0.139
20121004 0.1551
20121005 0.1567
20121006 0.3373
20121007 0.4693
20121008 0.9164
20121009 0.7367
20121010 1.2526
20121011 1.5629
20121012 0.1297
20121013 0.1079
20121014 0.1408
20121015 0.1417
20121016 0.1697
20121017 0.0345
20121018 0.0614
20121019 0.0071
20121020 0.0256
20121021 1.4497
20121022 1.5698
20121023 1.6048
20121024 1.6776
20121025 1.6138
20121026 1.4032
20121027 1.0894
20121028 0.0333
20121029 2.0218
20121030 0.077
20121031 0.1735
20121101 0.1278
20121102 0.1782
20121103 0.2334
20121104 0.0565
20121105 0.0335
20121106 0.1085
20121107 0.1866
20121108 0.24
20121109 0.1613
20121110 0.1693
20121111 0.1649
20121112 0.2275
20121113 0.1091
20121114 1.8885
20121115 1.7416
20121116 1.7471
20121117 0.1099
20121118 1.4243
20121119 1.7971
20121120 0.0321
20121121 0.0626
20121122 0.2457
20121123 0.1324
20121124 1.1679
20121125 0.2083
20121126 0.0915
20121127 0.0818
20121128 1.2059
20121129 0.9353
20121130 0.0477
20121201 0.1689
20121202 0.5905
20121203 0.1764
20121204 0.1735
20121205 0.0376
20121206 0.03
20121207 0.0852
20121208 1.5467
20121209 0.1753
20121210 0.3394
20121211 0.9222
20121212 0.1864
20121213 1.147
20121214 1.4337
20121215 0.1265
20121216 0.1446
20121217 0.2085
20121218 0.1568
20121219 0.8716
20121220 1.941
20121221 1.9532
20121222 0.1283
20121223 0.2854
20121224 0.1413
20121225 0.1681
20121226 0.1805
20121227 0.1125
20121228 0.0833
20121229 0.1864
20121230 0.1075
20121231 0.1643
20130101 0.1051
20130102 0.2301
20130103 0.2591
20130104 0.215
20130105 0.1238
20130106 0.1971
20130107 0.1446
20130108 0.1378
20130109 0.0818
20130110 0.1306
20130111 1.6805
20130112 1.9083
20130113 1.9528
20130114 1.948
20130115 1.9344
20130116 1.8439
20130117 1.8538
20130118 1.929
20130119 1.9227
20130120 1.9501
20130121 1.9532
20130122 1.8749
20130123 1.9531
20130124 1.9469
20130125 1.9105
20130126 0.093
20130127 0.1211
20130128 0.1378
20130129 0.2
20130130 0.2571
20130131 0.3027
20130201 0.0609
20130202 0.3193
20130203 0.129
20130204 0.2442
20130205 0.3003
20130206 0.5322
20130207 0.7978
20130208 1.6076
20130209 0.0081
20130210 1.3433
20130211 1.7483
20130212 1.2677
20130213 1.3183
20130214 0.0768
20130215 0.0285
20130216 1.953
20130217 1.9458
20130218 1.9075
20130219 1.5949
20130220 1.8351
20130221 1.9522
20130222 1.9361
20130223 1.7784
20130224 1.5781
20130225 1.6309
20130226 1.9253
20130227 1.9457
20130228 1.9455
20130301 0.8622
20130302 1.919
20130303 1.9671
